restaurant_name,address,zip_code
Pizza Hut,2202 N Richmond Rd,77488
Burger King,3120 W Fm 120,75020
McDonald's,1705 Expressway 83,78576
Burger King,2280 E Garrison St,78852
Chick-Fil-A,2207 Veterans Blvd,78840
Burger King,2208 Highway 21 E,77803
Schlotzsky's,1216 W Henderson St,76033
Arby's,801 Ne Alsbury Blvd,76028
Chick-Fil-A,1105 N Burleson Blvd,76028
Burger King,5301 Bellaire Blvd,77401
Arby's,3824 S Clack St,79606
Golden Chick,2305 N Saint Marys St,78102
Dairy Queen,90571 Main St,78146
Pizza Hut,210 W Sinton St,78387
Chicken Express,96 Cannan Dr,77515
McDonald's,1890 Bethlehem Pike,19031
Arby's,707 Washington Ave,21620
Big House Burgers,1201 E Main St,78332
Arby's,8586 S Orange Blossom Trl,32809
McDonald's,6385 Dobbin Rd,21045
Burger King,6241 Washington Blvd,21075
Arby's,505 S Oxford Valley Rd,19030
Arby's,888 E Main St,17522
Pizza Hut,1247 Theatre Dr,52501
Arby's,470 Cummings St,24210
Jerry's Subs & Pizza,6308 Richmond Hwy,22306
Fox's Pizza Den,1104 W High St,15931
Burger King,285 Jamesway Rd,15931
Arby's,4105 Peach St,16509
Arby's,3720 Pine Ave,16504
Burger King,4868 Houston Rd,41042
Burger King,105 S 3rd St,18036
Pizza Pub,1306 E Main St,16214
Grande Italian Restaurant,4205 Washington Rd,15317
Pizza Hut,453 Valley Brook Rd Ste 200,15317
Burger King,1208 W Front St,18603
Pizza Hut,4960 Library Rd,15102
Burger King,9 Hudson Hollow Rd,40601
Pizza Hut,1110 N 90th St,98103
Arni's Crawfordsville,114 W Wabash Ave,47933
Arby's,1518 S Washington St,47933
Pizza Hut,3921 S 76th St,53220
Arctic Circle,1075 N Fairfield Rd,84041
Pizza Hut,1607 Elkhart Rd,46526
Arby's,909 Hyatt St,29341
Burger King,2460 Mountain City Hwy,89801
Pizza Barn,2598 Idaho St,89801
McDonald's,313 Middle Country Rd,11727
Jerry's Subs & Pizza,9711 Fort Meade Rd,20707
Burger King,778 Brookway Blvd,39601
Rico's Pizza & Subs,92 W Market St,14830
B's Pizza,2 Wicks Blvd,14830
Burger King,1104 Sunrise Hwy,11701
McDonald's,425 E Main St,29671
McDonald's,106 Garner Rd,29303
Burger King,2619 Brandermill Blvd,21054
McDonald's,613 E 4th Ave,28377
Domino's Pizza,104 School St,11542
Dairy Queen,2789 Interstate Highway 20,75790
Dairy Queen,111 State Highway 239 E,77990
Dairy Queen,1301 N Dickinson Dr,75785
Dairy Queen,300 S Main St,79007
Dairy Queen,900 Highway 80,78666
Dairy Queen,849 E Commerce St,78205
Dairy Queen,2282 SE Military Dr,78223
Hardee's,2188 Great Neck Sq,23454
Hardee's,505 W 21st St,23517
Hardee's,5000 W Broad St,23230
Hardee's,3011 Hershberger Rd NW,24017
Hardee's,850 London Blvd,23704
Hardee's,1032 E Main St,24301
Hardee's,8405 Hampton Blvd,23505
Hardee's,430 Denbigh Blvd,23608
Hardee's,3750 Candlers Mountain Rd,24502
Hardee's,501 S Hicks St,23868
Hardee's,2231 Langhorne Rd,24501
Port of Subs,2310 E Overland Rd,83642
Port of Subs,3635 S Rainbow Blvd,89103
Port of Subs,8552 W Lake Mead Blvd,89128
Port of Subs,9101 W Sahara Ave,89117
Port of Subs,35 Dayton Valley Rd,89403
Taco Bell,45201 Schoenherr Rd,48315
Taco Bell,3860 S State Rd,48108
Taco Bell,9640 Hageman Rd,93312
Dairy Queen,6255 Central Ave,46368
Dairy Queen,6801 Highway 41 N,47711
Dairy Queen,3826 English Ave,46201
Dairy Queen,3303 Lincolnway E,46544
Dairy Queen,4830 University Dr,47712
Dairy Queen,309 State Road 13 N,46962
Dairy Queen,3302 Kamer Miller Rd,47150
Taco Bell,32940 Michigan Ave,48184
Dairy Queen,913 Charleston Ave,61938
Dairy Queen,5636 W Irving Park Rd,60634
Dairy Queen,685 W Main St,61738
Dairy Queen,601 E Oak St,61853
McDonald's,35 White St,02140
Milk Street Cafe,50 Milk St,02109
McDonald's,340 Longwood Ave,02115
Taco Bell,2306 Dix Hwy,48146
Taco Bell,1108 Lincoln Way East,44646
Taco Bell,705 York Road,28086
Dairy Queen,401 S 2nd St,61554
Dairy Queen,4204 N Sheridan Rd,61614
Pei Wei,1084 S Gilbert Suite 601,85296
Dairy Queen,401 S 6th St,62675
Dairy Queen,4605 E Maryland St,62521
Dairy Queen,3106 3 Oaks Rd,60013
Dairy Queen,316 N Main St,61462
Dairy Queen,201 E Deyoung St,62959
W.G. Grinders,1453 Grandview Ave,43212
Foster's Freeze,4967 Eagle Rock Blvd,90041
Caseys Carry Out Pizza,120 N Division Ave,61064
Tastee Freez,526 E Carl Albert Pkwy,74501
Taco Bueno,945 W Memorial Rd,73114
McDonald's,1737 N University Ave,70507
McDonald's,249 E State St,48457
Wendy's,8010 Sudley Rd,20109
Jimmy John's,6385 Monroe St,43560
Subway,1211 Joe Frank Harris Pkwy SE,30120
Subway,192 Lovvorn Ave,30108
Dairy Queen,1185 Gray Hwy,31211
Dairy Queen,3156 Frontage Rd,30504
Dairy Queen,1224 Watson Blvd,31093
Subway,1637 Liberty Expy SE,31705
Subway,1103 N Westover Blvd,31707
Dairy Queen,119 Atlanta St,30204
Dairy Queen,1035 Edgefield Rd,29860
Hardee's,2500 Wilde Lake Blvd,32526
Hardee's,3439 Highway 77,32405
Dairy Queen,3473 Clairmont Rd NE,30319
Dairy Queen,2781 Chamblee Tucker Rd,30341
Dairy Queen,256 N Main St,30236
Dairy Queen,410 North Ave NE,30308
Hardee's,498 Busch Dr,32218
Hardee's,1500 Mayport Rd,32233
Hardee's,822 Beal Pkwy NW,32547
Hardee's,5425 Cotton St,32440
Hardee's,1098 W International Speedway Blvd,32720
Hardee's,7237 Milford Harrington Hwy,19952
Hardee's,651 W Washington St,32324
Hardee's,401 S Thompson St,72764
Papa John's Pizza,4513 Williamson Rd NW,24012
Burger King,631 Hogan Rd,04401
Papa John's Pizza,1783 Roanoke Rd,24083
Pizza Hut,22 S State Ave,58601
Burger King,758 W Dixie Dr,27205
Cook Out,4505 Kester Mill Rd,27103
SUBWAY®,1641 S Jefferson Ave,63104
Krispy Krunchy Chicken,1051 W Maple Ave,70535
Hardee's/red Burrito,1305 Veterans Blvd,63028
Arby's,13963 New Halls Ferry Rd,63033
Lacey's On The Hill Restaurant,1701 Lacey St,63701
Dairy Queen,2724 Colonel Glenn Hwy,45324
Dairy Queen,260 E Cuyahoga Falls Ave,44310
Dairy Queen,235 N Broadway St,44663
Dairy Queen,2163 Southgate Pkwy,43725
Arby's,2399 David H Mcleod Blvd,29501
Arby's,1420 S Irby St,29505
Burger King,35 Manchester Rd,03038
McDonald's,195 Woodstock Ave,05701
McDonald's,1155 N Hill Field Rd,84041
McDonald's,41 Jayview Dr,05450
Pizza Pro,6096 Highway 49,72390
McDonald's,155 Dorset St,05403
McDonald's,1125 Shelburne Rd,05403
McDonald's,71 Upper Main St,05452
McDonald's,44 S Park Dr,05446
Hardee's,101 Princeton Blvd,30103
McDonald's,916 W North Temple,84116
McDonald's,909 W Riverdale Rd,84405
McDonald's,211 W 1230 N,84604
McDonald's,819 N Sullivan Rd,99037
McDonald's,902 S Main St,84302
McDonald's,505 W Yelm Ave,98597
Dairy Queen,2740 Laurel Park Rd,26301
McDonald's,1600 E Chestnut Ave,98901
McDonald's,5910 Summitview Ave,98908
McDonald's,814 S 9th Ave,99362
McDonald's,1601 Pacific Ave,98674
Cottage Inn Pizza,615 E Grand River Ave,48823
Little Caesars Pizza,3476 Whittier Blvd,90023
Burger King,1084 S State Rd,48423
Culver's,818 N 12th St,42071
Papa John's Pizza,2510 Frederica St,42301
Domino's Pizza,6 Orient Way,07070
Runza,13425 Q St,68137
Pizza Hut,1303 Bridge St,49720
Runza,816 Galvin Rd S,68005
Runza,640 N Park Ave,68025
Runza,814 S 13th St,68701
Runza,141 S Chestnut St,68066
Eudici's Pizza,6893 Gratiot Rd,48609
Domino's Pizza,538 Livingston St,07648
Domino's Pizza,141 Us Highway 46,07828
Sbarro,4402 Baldwin Rd,48326
McDonald's,1313 N State St,61008
McDonald's,681 N 12th St,62230
McDonald's,285 N Front St,60408
McDonald's,100 N Bolingbrook Dr,60440
McDonald's,1180 N Kinzie Ave,60915
McDonald's,575 Main St NW,60914
Pizza Hut,1224 M 89,49080
McDonald's,6401 Cermak Rd,60402
McDonald's,7181 Cermak Rd,60402
McDonald's,240 W Chrysler Dr,61008
McDonald's,7301 Westfield Plaza Dr,62223
McDonald's,1023 N Lake St,60506
McDonald's,188 Fox Valley Ctr,60504
Arby's,2250 US Highway 23 S,49707
Dairy Queen,1001 S State Ave,49707
Pizza Hut,3000 Maplewood Dr,70663
McDonald's,1402 SE 3rd St,61231
McDonald's,500 E Algonquin Rd,60102
McDonald's,125 S Randall Rd,60102
Taco Cabana,202 S Loop 336 W,77304
McDonald's,148 Caldwell Blvd,83651
Arby's,6464 Siegen Ln,70809
McDonald's,178 S Eagle Rd,83616
McDonald's,1335 S Washington Ave,83617
Subway,1750 Rostraver Rd,15012
Subway,2693 Brodhead Rd,15001
McDonald's,2900 Wendell Blvd,27591
McDonald's,2900 W 5th St,28358
Round Table Pizza,44204 10th St W,93534
Pizza Hut,44836 10th St W,93534
Chicken Express,3820 Lamar Ave,75462
Chicken Express,5100 Davis Blvd,76180
Chicken Express,904 W Eldorado Pkwy,75068
Chicken Express,4704 4th St,79416
Chicken Express,791 Keller Pkwy,76248
Chicken Express,305 N Rice St,76531
Chicken Express,1108 N Grand Ave,76240
Chicken Express,1451 E Main St,76448
Culver's,180 Pioneer Trl,55318
Jimmy John's,1615 County Road 42 W,55306
McDonald's,595 E Beasley Rd,39206
McDonald's,970 Cedar Lake Rd,39532
McDonald's,9505 South Blvd,28273
McDonald's,937 Alabama St,39702
McDonald's,930 Mall Loop Rd,27262
Arby's,2707 Bridge Ave,56007
McDonald's,8305 Creedmoor Rd,27613
McDonald's,905 Louisiana Ave,59923
Boomer's Drive-In,310 N Samish Way,98225
McDonald's,6724 Highway 63,39563
McDonald's,812 Winston Rd,27295
McDonald's,840 S Main St,27284
McDonald's,822 Wheat Dr,59715
McDonald's,717 Conover Blvd W,28613
McDonald's,720 E Broadway St,59802
McDonald's,710 N Davis Ave,38732
McDonald's,692 Beach Blvd,39530
McDonald's,65 Goodman Rd W,38671
McDonald's,706 College Rd,27410
McDonald's,701 Main St,27874
McDonald's,6779 Raeford Rd,28304
McDonald's,6495 Us Highway 93 S,59937
McDonald's,6225 W Sugar Creek Rd,28269
McDonald's,6301 Albemarle Rd,28212
McDonald's,601 Jake Alexander Blvd W,28147
McDonald's,5701 Inman Rd,27410
McDonald's,5800 E Wt Harris Blvd,28215
Hot Dog on a Stick,610 Great Mall Dr,95035
Hot Dog on a Stick,197 Town Ctr E,93454
Hot Dog on a Stick,1689 Arden Way,95815
Dunkin' Donuts,7602 13th Ave,11228
Dunkin' Donuts,56 Court St,11201
Arby's,401 N Main St,27292
Burger King,1432 Cotton Grove Rd,27292
Burger King,401 Lincoln Hwy,62208
Hardee's,100 Plaza Sq,63601
Dunkin' Donuts,1309 Fulton St,11216
Dunkin' Donuts,4115 3rd Ave,10457
Dunkin' Donuts,3732 E Tremont Ave,10465
Christo's Original,1500 S Main St,27292
Burger King,7197 Charles St,61112
Burger King,100 Thomas Rd,71291
Taco Bell,10440 Highland Rd,48353
Burger King,1138 E State St,61104
Burger King,421 N 36th St,62301
Burger King,4121 Sauk Trl,60471
Burger King,600 S Newport Rd,61764
Burger King,10721 Jefferson Ave,23601
Burger King,2901 Court St,61554
Taco Bell,2408 Stringtown Rd,43123
Burger King,1 Marquette Ave,61348
Taco Bell,1717 Grass Valley Hwy,95603
Taco Bell,370 M St,95531
Taco Bell,2050 W Main St,95380
Hardee's,1120 W Washington St,49855
Taco Bell,2700 Geer Rd,95382
Hardee's,1301 S Salisbury Blvd,21801
Taco Bell,1680 Hilliard Rome Rd,43026
Hardee's,718 Nursery Rd,21090
Taco Bell,4652 Cemetery Rd,43026
Burger King,4601 Broadway St,62864
Hardee's,800 Woods Rd,21613
Taco Bell,1410 Main St,45013
Burger King,730 N Walnut St,62863
Taco Bell,294 S Hamilton Rd,43230
Burger King,1385 Douglas Rd,60538
Burger King,1130 N Main St,61462
Subway,449 W Butler Ave,18914
Burger King,4040 38th Ave,61265
Burger King,1935 N Mannheim Rd,60160
Taco Bell,3013 Salem Ave,45406
Taco Bell,2509 S Smithville Rd,45420
Taco Bell,47 Woodman Dr,45431
Carvel,1 Airport Blvd,32827
Taco Bell,3060 Kettering Blvd,45439
Burger King,1094 N Main St,61611
Chick-Fil-A,250 W Washington St,61611
Taco Bell,8440 N High St,43235
Taco Bell,3834 Morse Rd,43219
Taco Bell,4770 Sawmill Rd,43235
Burger King,630 Machesney Rd,61115
Burger King,1701 E Jackson St,61455
Subway,500 Terry Rich Blvd,17970
Subway,366 Center Ave,17972
Subway,6 W Main St,17815
Subway,149 N 3rd St,17512
Subway,2350 N Reading Rd,17517
Burger King,439 S Schuyler Ave,60901
Burger King,3130 Plainfield Rd,60435
Pizza Hut,620 Lincoln Way Ste 5,50010
Burger King,5300 Grand Ave,60031
Burger King,1834 Waukegan Rd,60025
Burger King,3406 Nameoki Rd,62040
Burger King,5100 W Cermak Rd,60804
Dunkin' Donuts,7707 E Colonial Dr,32807
Dunkin' Donuts,6215 S Orange Ave,32809
Dunkin' Donuts,12236 S Apopka Vineland Rd,32836
Chicken Inn,7536 N Milwaukee Ave,60631
Dunkin' Donuts,7501 Bird Rd,33155
Dunkin' Donuts,10754 SW 24th St,33165
Arby's,2000 Sycamore Rd,60115
Shake Shack,3200 Chestnut St,19104
Subway,1281 Hyde Park Ave,02136
Subway,1105 Massachusetts Ave,02138
Subway,107 Main St,01754
Quiznos Sub,204 N Canal Blvd,70301
McDonald's,1900 W Slauson Ave,90047
McDonald's,18850 Soledad Canyon Rd,91351
Subway,9550 Main St,30188
Subway,1142 E Highway 193,84040
McDonald's,1852 Manhattan Beach Blvd,90266
McDonald's,1821 Motel Dr,95341
Culver's,9229 S Harlem Ave,60455
McDonald's,1800 S Western Ave,90006
McDonald's,1800 Prescott Rd,95350
McDonald's,17455 Central Ave,90746
McDonald's,1725 E El Monte Way,93618
McDonald's,1721 E Bayshore Rd,94303
McDonald's,1721 Howe Ave,95825
McDonald's,1700 W Capitol Ave,95691
McDonald's,170 Lincoln Rd E,94591
McDonald's,1634 W Glenoaks Blvd,91201
McDonald's,15950 Los Serranos Country Club Dr,91709
McDonald's,1570 Sycamore Ave,94547
McDonald's,1520 W Valley Blvd,91803
McDonald's,1526 W Edinger Ave,92704
McDonald's,1516 Canyon Del Rey Blvd,93955
KFC - Kentucky Fried Chicken,7199 Mission St,94014
McDonald's,1500 E Main St,95776
McDonald's,1459 Main St,95076
Chick-fil-A,9345 Parkway E,35215
Chick-fil-A,1005 Foxcroft Ave,25401
Chick-fil-A,1300 N Eisenhower Dr,25801
Chick-fil-A,5003a Victory Blvd,23693
Chick-fil-A,6732 Mooretown Rd,23188
Chick-fil-A,5409 Indian River Rd,23464
Chick-fil-A,4802 Valley View Blvd NW,24012
Chick-fil-A,4374 Electric Rd,24018
Chick-fil-A,9100 W Broad St,23294
In-N-Out Burger,324 S Azusa Ave,91702
In-N-Out Burger,13850 Francisquito Ave,91706
In-N-Out Burger,2821 Lenwood Rd,92311
In-N-Out Burger,130 Grass Valley Hwy,95603
Chick-fil-A,1205 N Military Hwy,23502
Chick-fil-A,2901 Candlers Mountain Rd,24502
Chick-fil-A,2140 Coliseum Dr,23666
Chick-fil-A,1698 Carl D Silver Pkwy,22401
Chick-fil-A,325 Piedmont Dr,24540
Chick-fil-A,4412 Chantilly Pl,20151
Chick-fil-A,1576 Rio Rd E,22901
Chick-fil-A,350 Woodbrook Dr,22901
Chick-fil-A,6191 S State St,84107
Pizza Hut,805 Highway 2 N,74578
Pizza Hut,701 S Broadway St,74426
Pizza Hut,12922 E 86th St N,74055
Pizza Hut,715 Highway 76 S,73438
Subway,35 Erie Rd,44278
Subway,3200 Broadway,43123
Subway,3212 Mahoning Ave,44509
Taco Bell,1221 E 9 Mile Rd,48030
Taco Bell,12200 Gratiot Ave,48205
Subway,2924 State Rd,44223
Subway,2838 Whipple Ave NW,44708
Arby's,1224 S Mission,48858
Whataburger,4610 S 48th St,85040
Taco Bell,8428 Baltimore Ave,20740
Whataburger,450 W Indian School Rd,85013
Whataburger,1840 S 19th Ave,85009
Whataburger,7375 W Chandler Blvd,85226
Whataburger,1450 N Dysart Rd,85323
Subway,109 S Jefferson St,78945
Burger King,2132 N Park Rd,47331
Arby's,5515 Fenton Rd,48507
Subway,1018 E Gravis St,78384
El Burrito Loco,1416 W Galena Ave,61032
Arby's,1714 N Mitchell St,49601
Arby's,2509 Alpine Ave NW,49544
Arby's,765 44th St SW,49509
Arby's,3000 28th St SE,49512
Arby's,1230 Leonard St NE,49505
Arby's,4584 Chicago Dr SW,49418
Arby's,1195 Washington Ave,49423
Burger King,36100 Hwy 27,33844
Arby's,411 W Carleton Rd,49242
Arby's,2143 W Main St,49331
Arby's,952 N West Ave,49202
Arby's,1215 M 89,49080
Arby's,1310 W Michigan Ave,49068
Arby's,8508 Shaver Rd,49024
Arby's,3656 E Cork St,49001
Arby's,6031 S Cedar St,48911
Arby's,1881 S Scott Rd,48879
Arby's,6360 Dixie Hwy,48722
Arby's,7019 Eastman Ave,48642
Arby's,2900 Cook Rd,48661
Burger King,860 S Main St,33430
Arby's,10207 S Clare Ave,48617
Arby's,3574 W Houghton Lake Dr,48629
Arby's,765 S Main St,48446
Arby's,1010 S State Rd,48423
Arby's,3465 Pollock Rd,48439
Papa Gino's,545 Hooksett Rd,03104
Spangles,1818 E Pawnee St,67211
Burger King,1308 N Keller Dr,62401
Capri Restaurant,2520 W Fairview Ave,83702
Arby's,1401 Thelma Keller Ave,62401
Angelina's Pizza,8155 Columbia Rd,44138
Jack in the Box,2689 Pinole Valley Rd,94564
Arby's,2543 Cleveland Ave Sw,44707
Arby's,4620 Tuscarawas St W,44708
Chanello's Pizza,3201 E Ocean View Ave,23518
Jack in the Box,2505 A St,94509
Jack in the Box,2548 S Azusa Ave,91792
Pizza Hut,8876 Dallas Acworth Hwy Ste 106,30132
Taco Bell,7085 N Marks Ave,93711
Jack in the Box,235 E Orangethorpe Ave,92832
Jack in the Box,2293 Arden Way,95825
Arby's,15 Progress Cir,30513
Jack in the Box,2296 Griffin Way,92879
Taco Bell,7785 N 1st St,93720
Jack in the Box,22730 Victory Blvd,91367
Jack in the Box,2242 S Euclid Ave,91762
Taco Bell,991 W El Camino Real,94087
Jack in the Box,22220 Wilmington Ave,90745
Taco Bell,1350 Travis Blvd,94533
Taco Bell,500 Contra Costa Blvd,94523
Taco Bell,1700 Contra Costa Blvd,94523
Jack in the Box,2125 Windsor Ave,91001
Burger King,3630 Cobb Pkwy Nw,30101
Arby's,3319 Cobb Pkwy Nw,30101
Dunkin' Donuts,215 E 201st St,10458
Dunkin' Donuts,2241 Southern Blvd,10460
McDonald's,3010 Canton Rd,30066
Jack in the Box,2111 Taft Hwy,93313
Dunkin' Donuts,1285 Castle Hill Ave,10462
Dunkin' Donuts,3114 Ditmars Blvd,11105
Taco Bell,500 Sierra St,93631
Krispy Krunchy Chicken,946 Highway 69,66701
Taco Bell,867 Oak Park Blvd,93449
Taco Bell,1500 W Grand Ave,93433
Taco Bell,535 W Tefft St,93444
Taco Bell,3315 Union Ave,93305
Arby's,805 W Wyatt Earp Blvd,67801
Taco Bell,2300 H St,93301
Taco Bell,1520 Hillman St,93274
Taco Bell,510 E Tulare Ave,93274
